date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2000-05-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1171,17.09
2000-05-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,945,13.8
2000-06-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1190,17.37
2000-06-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,963.75,14.07
2000-07-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1156,16.88
2000-07-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,968.4,14.14
2000-08-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1102.5,16.09
2000-08-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,986,14.39
2000-09-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1100,16.06
2000-09-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,975,14.23
2000-10-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1142.25,16.68
2000-10-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,975,14.23
2000-11-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1115,16.28
2000-11-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,990,14.45
2000-12-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1070,15.62
2000-12-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,988.75,14.43
2001-01-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1080,15.77
2001-01-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,985,14.38
2001-02-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1092,15.94
2001-02-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,985,14.38
2001-03-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1160,16.93
2001-03-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,980,14.31
2001-04-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1191,17.39
2001-04-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,977.5,14.27
2001-05-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1160,16.93
2001-05-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,972.5,14.2
2001-06-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1017,14.85
2001-06-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,970,14.16
2001-07-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1001,14.61
2001-07-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,970,14.16
2001-08-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1037,15.14
2001-08-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,975,14.23
2001-09-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1102,16.09
2001-09-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,975,14.23
2001-10-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1146,16.73
2001-10-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,968,14.13
2001-11-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1145,16.72
